FECHA,CASOS
01/03/20,0
02/03/20,0
03/03/20,0
04/03/20,0
05/03/20,0
06/03/20,0
07/03/20,0
08/03/20,0
09/03/20,0
10/03/20,0
11/03/20,0
12/03/20,0
13/03/20,1
14/03/20,0
15/03/20,1
16/03/20,2
17/03/20,0
18/03/20,1
19/03/20,0
20/03/20,2
21/03/20,10
22/03/20,0
23/03/20,1
24/03/20,1
25/03/20,3
26/03/20,4
27/03/20,0
28/03/20,2
29/03/20,0
30/03/20,2
31/03/20,0
01/04/20,0
02/04/20,0
03/04/20,1
04/04/20,1
05/04/20,0
06/04/20,2
07/04/20,1
08/04/20,0
09/04/20,1
10/04/20,0
11/04/20,2
12/04/20,0
13/04/20,1
14/04/20,1
15/04/20,5
16/04/20,1
17/04/20,10
18/04/20,1
19/04/20,1
20/04/20,1
21/04/20,6
22/04/20,5
23/04/20,1
24/04/20,8
25/04/20,4
26/04/20,0
27/04/20,7
28/04/20,7
29/04/20,4
30/04/20,5
01/05/20,7
02/05/20,3
03/05/20,1
04/05/20,10
05/05/20,12
06/05/20,18
07/05/20,12
08/05/20,24
09/05/20,14
10/05/20,1
11/05/20,19
12/05/20,18
13/05/20,19
14/05/20,25
15/05/20,19
16/05/20,15
17/05/20,4
18/05/20,23
19/05/20,30
20/05/20,25
21/05/20,28
22/05/20,21
23/05/20,20
24/05/20,9
25/05/20,42
26/05/20,47
27/05/20,22
28/05/20,0
29/05/20,0
